LAT;;;;;13.5500;13.5500;13.5500;13.5500
LON;;;;;-88.8167;-88.8167;-88.8167;-88.8167
ASL;;;;;481.000;481.000;481.000;481.000
CITY;;;;;India;India;India;India
DOMAIN;;;;;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM
LEVEL;;;;;2 m above gnd;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Total Precipitation (high resolution);Wind Speed;Wind Direction
UNIT;;;;;°C;mm;km/h;°
AGGREGATION;;;;;;;;
UTC_OFFSET;;;;;-6;-6;-6;-6

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;06;17;18;00;27.56;0.00;4.38;189.46
2019;06;17;19;00;25.93;0.00;4.38;260.54
2019;06;17;20;00;26.25;0.00;2.60;326.31
2019;06;17;21;00;26.14;0.00;5.05;355.91
2019;06;17;22;00;25.92;0.00;6.13;356.63
2019;06;17;23;00;25.93;0.00;5.86;349.38
2019;06;18;00;00;25.96;0.00;5.94;345.96
2019;06;18;01;00;25.62;0.00;6.13;3.37
2019;06;18;02;00;25.20;0.00;7.17;17.53
2019;06;18;03;00;24.82;0.00;7.42;14.04
2019;06;18;04;00;24.41;0.00;6.48;360.00
2019;06;18;05;00;24.25;0.00;6.38;343.61
2019;06;18;06;00;24.96;0.00;5.15;335.22
2019;06;18;07;00;26.41;0.00;12.31;15.26
2019;06;18;08;00;27.80;0.00;13.10;15.95
2019;06;18;09;00;28.99;0.00;11.17;20.77
2019;06;18;10;00;30.03;0.00;8.16;41.42
2019;06;18;11;00;30.68;0.00;7.42;75.96
2019;06;18;12;00;31.27;0.00;9.39;94.40
2019;06;18;13;00;31.59;0.00;8.31;94.97
2019;06;18;14;00;31.81;0.00;8.29;92.49
2019;06;18;15;00;31.70;0.00;6.88;96.01
2019;06;18;16;00;30.98;0.00;5.80;119.74
2019;06;18;17;00;29.47;0.00;5.96;154.98
2019;06;18;18;00;28.02;0.00;3.96;180.00
2019;06;18;19;00;26.21;0.00;5.12;230.71
2019;06;18;20;00;26.27;0.00;2.90;262.87
2019;06;18;21;00;26.42;0.00;3.55;336.04
2019;06;18;22;00;26.62;0.00;4.68;360.00
2019;06;18;23;00;26.82;0.00;6.12;360.00
2019;06;19;00;00;27.22;0.40;6.92;8.97
2019;06;19;01;00;27.03;0.60;7.70;10.78
2019;06;19;02;00;26.46;0.60;7.52;16.70
2019;06;19;03;00;25.82;0.00;5.69;18.43
2019;06;19;04;00;25.33;0.00;5.80;7.13
2019;06;19;05;00;25.21;0.00;6.12;360.00
2019;06;19;06;00;25.63;0.00;5.40;360.00
2019;06;19;07;00;26.91;0.00;10.31;12.09
2019;06;19;08;00;28.20;0.00;11.38;18.43
2019;06;19;09;00;29.36;0.00;9.69;31.33
2019;06;19;10;00;30.24;0.00;8.67;41.63
2019;06;19;11;00;31.00;0.00;8.44;50.19
2019;06;19;12;00;31.54;0.00;10.00;59.74
2019;06;19;13;00;31.74;0.00;10.31;77.91
2019;06;19;14;00;31.02;0.00;9.36;90.00
2019;06;19;15;00;30.37;0.50;0.72;360.00
2019;06;19;16;00;28.89;0.40;3.89;303.69
2019;06;19;17;00;28.75;0.00;3.67;11.31
2019;06;19;18;00;27.91;0.00;0.36;90.00
2019;06;19;19;00;26.26;0.00;5.69;235.30
2019;06;19;20;00;25.57;0.00;4.20;239.04
2019;06;19;21;00;26.05;0.20;2.28;341.57
2019;06;19;22;00;26.42;0.20;4.51;28.61
2019;06;19;23;00;26.05;0.00;4.84;41.99
2019;06;20;00;00;25.76;0.00;6.13;40.24
